analyst,1605 華新,2317 鴻海,2324 仁寶,2330 台積電,2382 廣達,2408 南亞科,2421 建準,2454 聯發科,3019 亞光,3037 欣興,3363 上詮光纖通信股份有限公司,5439 高技企業股份有限公司,6213 聯茂,6531 愛普*,8069 元太科技工業股份有限公司
郭哲榮分析師-摩爾證券投顧,,,買進,中立,賣出,買進,買進,買進,,買進,,,,買進,買進
鐘崑禎分析師_摩爾證券投顧,買進,買進,,買進,,,,買進,買進,,買進,買進,買進,,
