date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-02,0050,1,1,0,0,0,0,0.08992564976754848
2026-04-02,1303,1,0,0,0,0,0,0.11154343248148982
2026-04-02,1519,1,1,0,0,0,0,0.025094102885821833
2026-04-02,1521,1,0,0,0,0,0,0.00814667084133889
2026-04-02,1528,1,0,0,0,0,0,0.07465617137807995
2026-04-02,1582,1,0,0,0,0,0,0.014285714285714285
2026-04-02,1589,0,1,0,0,0,0,
2026-04-02,1717,1,0,0,0,0,0,0.30371558899725476
2026-04-02,1785,2,0,0,0,0,0,0.4415437253078452
2026-04-02,1802,0,1,0,0,0,0,0.21455939845294297
2026-04-02,2049,1,0,0,0,0,0,0.09649122807017543
2026-04-02,2301,0,1,0,0,0,0,0.05862068965517241
2026-04-02,2308,4,1,0,0,0,0,0.21678321678321677
2026-04-02,2313,2,0,0,0,0,0,0.07307692307692308
2026-04-02,2317,4,4,0,0,0,0,0.03626943005181347
2026-04-02,2327,1,0,0,0,0,0,0.23373983739837398
2026-04-02,2330,9,1,0,0,0,0,0.09944751381215469
2026-04-02,2337,3,3,0,0,0,0,0.1434108527131783
2026-04-02,2344,4,5,0,0,0,0,0.028322422523833546
2026-04-02,2345,1,0,0,0,0,0,0.14465408805031446
2026-04-02,2360,1,0,0,0,0,0,0.2247557003257329
2026-04-02,2367,0,1,0,0,0,0,0.03496503496503497
2026-04-02,2368,2,0,0,0,0,0,0.16574585635359115
2026-04-02,2375,1,0,0,0,0,0,0.1790633646450277
2026-04-02,2382,2,1,0,0,0,0,0.12126537785588752
2026-04-02,2383,3,0,0,0,0,0,0.19389587073608616
2026-04-02,2408,5,3,0,0,0,0,0.12468827930174564
2026-04-02,2409,4,0,0,0,0,0,0.06824923397597964
2026-04-02,2426,2,0,0,0,0,0,0.35770237691500545
2026-04-02,2449,0,1,0,0,0,0,0.138996138996139
2026-04-02,2450,1,0,0,0,0,0,0.03270226464334943
2026-04-02,2451,2,1,0,0,0,0,0.05150214592274678
