analyst,2317 鴻海,2327 國巨*,2330 台積電,2408 南亞科,2421 建準,2454 聯發科,3006 晶豪科,3017 奇鋐,3037 欣興,6531 愛普*,8046 南電,8110 華東
何基鼎分析師-摩爾證券投顧,買進,買進,買進,,,買進,,中立,,,,買進
郭哲榮分析師-摩爾證券投顧,買進,,賣出,買進,買進,,中立,,買進,中立,買進,
