analyst,03093X 永豐金元大61展01,1605 華新,2303 聯電,2311 臺達電,2317 鴻海,2318 臺灣大哥大,2325 臺達電,2329 華泰,2330 台積電,2345 智邦,2383 台光電,2408 南亞科,2412 中華電,2454 聯發科,2603 長榮,2609 陽明,2612 中航,2615 萬海,2637 慧洋-KY,3264 欣銓科技股份有限公司,3676 影威,3711 日月光投控,5475 德宏工業股份有限公司,5498 凱崴電子股份有限公司,6223 旺矽科技股份有限公司,6239 力成,6669 緯穎,8150 南茂
何基鼎分析師-摩爾證券投顧,中立,買進,中立,買進,中立,中立,中立,中立,買進,買進,買進,中立,中立,中立,買進,買進,買進,買進,買進,中立,中立,中立,買進,中立,中立,中立,買進,中立
郭哲榮分析師-摩爾證券投顧,,,,,,,,,買進,,,,,,,,,,,,,,,,,,,
