analyst,2317 鴻海,2330 台積電,2382 廣達,2402 毅嘉,2421 建準,2454 聯發科,3008 大立光,3019 亞光,3376 新日興
郭哲榮分析師-摩爾證券投顧,,,買進,中立,中立,,中立,,買進
鐘崑禎分析師_摩爾證券投顧,買進,買進,,,,買進,,買進,
