analyst,0050 元大台灣50,0056 元大高股息,1303 南亞,2308 台達電,2330 台積電,2345 智邦,2382 廣達,2454 聯發科,3035 智原,3231 緯創,3443 創意,3653 健策,6669 緯穎,8358 金居開發股份有限公司
何基鼎分析師-摩爾證券投顧,,,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進
郭哲榮分析師-摩爾證券投顧,買進,賣出,,,,,,,,,,,,
