analyst,2328 廣宇,2330 台積電,2408 南亞科,2498 宏達電,2634 漢翔,3019 亞光
謝晨彥分析師-摩爾證券投顧,,,,買進,,
郭哲榮分析師-摩爾證券投顧,賣出,賣出,買進,,買進,買進
