code,name,english_name
1563,巧新科技工業股份有限公司,SAI
1565,精華光學股份有限公司,精華
1568,倉佑實業股份有限公司,T.Y.
1569,濱川企業股份有限公司,濱川
1570,力肯實業股份有限公司,力肯
1580,新麥企業股份有限公司,新麥
1582,信錦企業股份有限公司,SYNCMOLD
1583,程泰機械股份有限公司,GOODWAY
1584,精剛精密科技股份有限公司,精剛
1586,和勤精機股份有限公司,和勤
1587,吉茂精密股份有限公司,CM
1589,永冠能源科技集團有限公司,YGG
1590,亞德客國際集團,AIRTAC
1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY
1593,祺驊股份有限公司,祺驊
1595,川寶科技股份有限公司,川寶
1597,直得科技股份有限公司,cpc
1598,岱宇國際股份有限公司,Dyaco
1599,宏佳騰動力科技股份有限公司,宏佳騰
1603,中華電線電纜股份有限公司,CWCO
1604,聲寶股份有限公司,SAMPO
1605,華新麗華股份有限公司,WALSIN
1608,華榮電線電纜股份有限公司,HE
1609,大亞電線電纜股份有限公司,TA YA
1611,中國電器股份有限公司,CE
1612,宏泰電工股份有限公司,HONG TAI
1614,台灣三洋電機股份有限公司,Taiwan Sanyo
1615,大山電線電纜股份有限公司,Dah  San
1616,億泰電線電纜股份有限公司,EVERTOP
1617,榮星電線工業股份有限公司,JSW
1618,合機電線電纜股份有限公司,HK
1623,大東電業廠股份有限公司,TEWC
1626,艾美特(開曼)國際有限公司,AIRMATE
1702,南僑投資控股股份有限公司,NAMCHOW
1707,葡萄王生技股份有限公司,GKB
1708,東南實業股份有限公司,SESODA
1709,和益化學工業股份有限公司,FUCC
1710,東聯化學股份有限公司,OUCC
1711,臺灣永光化學工業股份有限公司,EVERLIGHT
1712,興農股份有限公司,SINON
1713,國泰化工廠股份有限公司,CCW
1714,和桐化學股份有限公司,HO TUNG
1717,長興材料工業股份有限公司,ETERNAL
1718,中國人造纖維股份有限公司,CMFC
1720,生達化學製藥股份有限公司,S.C.P.C
1721,三晃股份有限公司,SUNKO
1722,台灣肥料股份有限公司,TFC
1723,中鋼碳素化學股份有限公司,CSCC
1725,元禎企業股份有限公司,YJE
1726,永記造漆工業股份有限公司,Y.C.P.
1727,臺灣中華化學工業股份有限公司,CHCIW
1730,花仙子企業股份有限公司,FARCENT
1731,美吾華股份有限公司,Maywufa
1732,毛寶股份有限公司,Mao Bao
1733,五鼎生物技術股份有限公司,ApexBio
1734,杏輝藥品工業股份有限公司,SINPHAR
1735,日勝化工股份有限公司,EMC
1736,喬山健康科技股份有限公司,JHT
1737,臺鹽實業股份有限公司,Taiyen
1742,台灣蠟品股份有限公司,台蠟
1752,南光化學製藥股份有限公司,NANG KUANG
1760,寶齡富錦生技股份有限公司,PBF
1762,中化合成生技股份有限公司,CCSB
1773,勝一化工股份有限公司,SHINY  CHEMICAL
1776,展宇科技材料股份有限公司,Headway
1777,生泰合成工業股份有限公司,生泰
1781,合世生醫科技股份有限公司,合世
1783,和康生物科技股份有限公司,MBI
1784,訊聯生物科技股份有限公司,訊聯
1785,光洋應用材料科技股份有限公司,光洋科
1786,科妍生物科技股份有限公司,SVBI
1788,杏昌生技股份有限公司,杏昌
1789,台灣神隆股份有限公司,SPT
1795,美時化學製藥股份有限公司,Lotus Pharm
1796,金穎生物科技股份有限公司,金穎生技
1799,易威生醫科技股份有限公司,易威
1802,台灣玻璃工業股份有限公司,TGI
1805,寶徠建設股份有限公司,BLG
1806,冠軍建材股份有限公司,CHAMPION
1808,潤隆建設股份有限公司,RUN LONG
1809,中國製釉股份有限公司,China Glaze
1810,和成欣業股份有限公司,HCG
1813,寶利徠光學科技股份有限公司,寶利徠
1815,富喬工業股份有限公司,富喬
1817,凱撒衛浴股份有限公司,SANITAR
1903,士林紙業股份有限公司,Shihlin Paper
1904,正隆股份有限公司,Cheng Loong
1905,中華紙漿股份有限公司,CHP
1906,寶隆國際股份有限公司,Baolong Intl.
1907,永豐餘投資控股股份有限公司,YFY
1909,榮成紙業股份有限公司,Longchen P&P
2002,中國鋼鐵股份有限公司,CSC
2006,東和鋼鐵企業股份有限公司,Tung Ho Steel
2007,燁興企業股份有限公司,YH
2008,高興昌鋼鐵股份有限公司,KHC
