analyst,1303 南亞,2382 廣達,3260 威剛科技股份有限公司,6753 龍德造船,8064 東捷科技股份有限公司,8299 群聯電子股份有限公司
謝晨彥分析師-摩爾證券投顧,買進,,買進,,,買進
郭哲榮分析師-摩爾證券投顧,買進,賣出,,買進,買進,
