analyst,1605 華新,1802 台玻,2313 華通,2317 鴻海,2330 台積電,2383 台光電,3019 亞光,3044 健鼎,3163 波若威科技股份有限公司,3376 新日興,3715 定穎投控,4958 臻鼎-KY,6213 聯茂,8996 高力
郭哲榮分析師-摩爾證券投顧,,,,賣出,中立,,,,,買進,,,,
鐘崑禎分析師_摩爾證券投顧,買進,買進,買進,,買進,中立,買進,買進,買進,,中立,買進,買進,買進
