analyst,1802 台玻,1815 富喬工業股份有限公司,2303 聯電,2317 鴻海,2328 廣宇,2330 台積電,2454 聯發科,2548 華固,3324 雙鴻科技股份有限公司,3363 上詮光纖通信股份有限公司,3450 聯鈞,4576 大銀微系統,4749 新應材股份有限公司,4979 華星光通科技股份有限公司,5284 jpp-KY,5340 建榮工業材料股份有限公司,6213 聯茂,6591 動力-KY,8210 勤誠,8996 高力
郭哲榮分析師-摩爾證券投顧,,,買進,,買進,買進,,買進,,,,,,,,,,,,
鐘崑禎分析師_摩爾證券投顧,買進,買進,,買進,,買進,買進,,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進,買進
