analyst,0050 元大台灣50,0052 富邦科技,2303 聯電,2317 鴻海,2330 台積電,2353 宏碁,2377 微星,2382 廣達,2408 南亞科,2449 京元電子,2454 聯發科,2492 華新科,3711 日月光投控,4953 緯創軟體股份有限公司,6173 信昌電子陶瓷股份有限公司,8271 宇瞻
何基鼎分析師-摩爾證券投顧,,,買進,買進,買進,買進,買進,買進,買進,中立,中立,買進,中立,中立,買進,買進
郭哲榮分析師-摩爾證券投顧,買進,中立,,,中立,,,,,,,,,,,
